"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"Monitoring ingress and egress traffic across Operational Technology perimeters","Analytic Capability",Platform,,"Network firewall",Industry,Manufacturing,Platform,,"Intrusion Detection data",,"https://lantern.splunk.com/@go/page/7969",,,Manufacturing,,Active,,,,,
"Monitoring ingress and egress traffic across Operational Technology perimeters","Analytic Capability",Platform,,"Network firewall",Industry,Manufacturing,Platform,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/7969",,,Manufacturing,,Active,,,,,
"Monitoring ingress and egress traffic across Operational Technology perimeters","Analytic Capability",Platform,,"Network firewall",Industry,Manufacturing,Platform,,"Network Traffic data",,"https://lantern.splunk.com/@go/page/7969",,,Manufacturing,,Active,,,,,
"Monitoring key telecommunications service metrics","Analytic Use Case",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2350","Is Top Level Parent",,"Technology, Communications, and Media",,Active,"I used CDR data instead of Telephony data",,,,
"Monitoring log volume trends","Analytic Capability","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/374","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Monitoring major cloud service providers",Capability,"Digital Resilience Journey","Foundational Visibility",,"Security Monitoring",,Security,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring/Monitoring_major_cloud_service_providers",,,,,,,,,,
"Monitoring mandatory time away (MTA) with the Splunk platform",Capability,Platform,,,Industry,"Financial Services and Insurance",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_mandatory_time_away_(MTA)_with_the_Splunk_platform",,,,,,,,,,
"Monitoring medical record numbers for anomalous access","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/3787",,,Healthcare,,Active,,,,,
"Monitoring medical record numbers for anomalous access","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Security,,"Medical Device data",,"https://lantern.splunk.com/@go/page/3787",,,Healthcare,,Active,,,,,
"Monitoring mobile device payments","Analytic Capability",Platform,,"Mobile device",Industry,"Financial Services and Insurance",Platform,,"Mobile Device data",,"https://lantern.splunk.com/@go/page/2789",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring mobile device payments","Analytic Capability",Platform,,"Mobile device",Industry,"Financial Services and Insurance",Platform,,"Vendor-Specific data",,"https://lantern.splunk.com/@go/page/2789",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring money laundering activities with the Splunk App for Behavioral Analytics","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_money_laundering_activities_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring money laundering activities with the Splunk App for Behavioral Analytics","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_money_laundering_activities_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring money laundering activities with the Splunk platform","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring money laundering activities with the Splunk platform","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring network infrastructure using Splunk Connect for Simple Network Management Protocol (SC4SNMP)",,,,,,,,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Monitoring_network_infrastructure_using_Splunk_Connect_for_Simple_Network_Management_Protocol_(SC4SNMP)",,,,,,,,,,
"Monitoring new logins to financial applications","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2773",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring new logins to financial applications","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2773",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring payment responses","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2334",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring payment responses","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2334",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring purchase order lifecycles","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8365",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"Monitoring remote access to Operational Technology environments","Analytic Capability",Platform,,"Operational technology",Industry,Manufacturing,Platform,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/7977",,,Manufacturing,,Active,,,,,
"Monitoring remote access to Operational Technology environments","Analytic Capability",Platform,,"Operational technology",Industry,Manufacturing,Platform,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/7977",,,Manufacturing,,Active,,,,,
"Monitoring removable media devices in Operational Technology environments","Analytic Capability",Platform,,"Operational technology",Industry,Manufacturing,Platform,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/7973",,,Manufacturing,,Active,,,,,
"Monitoring removable media devices in Operational Technology environments","Analytic Capability",Platform,,"Operational technology",Industry,Manufacturing,Platform,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/7973",,,Manufacturing,,Active,,,,,
"Monitoring security events with Enterprise Security and Microsoft Copilot for Security","Analytic Capability","Digital Resilience","Foundational Visibility",Alerts,"Security Monitoring",,Security,,"Application data",,"https://lantern.splunk.com/@go/page/8054","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring the availability of online storefronts",Capability,"Digital Resilience Journey","Proactive Response",,"Improve End User Experiences",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Improve_User_Experiences/Monitoring_the_availability_of_online_storefronts",,,,,,,,,,
"Monitoring usage of wireless access points","Analytic Capability",Platform,,"Network communication",Industry,"Technology, Communications, and Media",Platform,,"Network Communication data",,"https://lantern.splunk.com/@go/page/6347",,,"Technology, Communications, and Media",,Active,,,,,
"Monitoring use of Git repositories","Analytic Capability","Digital Resilience","Guided Insights","Binary repositories","Security Monitoring",,Security,,"Binary Repositories data",,"https://lantern.splunk.com/@go/page/534","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring user activity spikes in AWS","Analytic Capability","Digital Resilience","Guided Insights","Cloud services","Threat Hunting",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2677","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring user activity spikes in AWS","Analytic Capability","Digital Resilience","Guided Insights","Cloud services","Threat Hunting",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2677","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring user activity spikes in AWS","Analytic Capability","Digital Resilience","Guided Insights","Cloud services","Threat Hunting",,Security,,"User Activity Logs data",,"https://lantern.splunk.com/@go/page/2677","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring user experience with web page performance",Capability,"Digital Resilience Journey","Proactive Response",,"Improve End User Experiences",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Improve_User_Experiences/Monitoring_user_experience_with_web_page_performance",,,,,,,,,,
"Monitoring web application performance","Analytic Use Case","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"APM data",,"https://lantern.splunk.com/@go/page/1255","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Monitoring web application performance","Analytic Use Case","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/1255","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Monitoring wire transfers","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2700",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring wire transfers","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2700",,,"Financial Services and Insurance",,Active,,,,,
"Most common operating system and browser combination","Analytic Capability",Platform,,"Web server",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/@go/page/2188","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
"Most commonly accessed business applications","Analytic Capability","Digital Resilience","Foundational Visibility",Authentication,"Security Monitoring",,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/2494","Securing a work-from-home organization","https://lantern.splunk.com/@go/page/737","Industry Neutral",,Active,,,,,
"Most frequent ATM users","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/1525","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"Most frequent ATM users","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/1525","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"Most used assets of a web application","Analytic Capability","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/1510","Monitoring web application performance","https://lantern.splunk.com/@go/page/1255","Industry Neutral",,Active,,,,,
"Multichannel fraud detection","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Application data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_consumer_bank_account_takeovers/Multichannel_fraud_detection","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
